# Unicode CLDR 48.2 emoji annotations (English and Korean).
# Source: https://github.com/unicode-org/cldr/tree/release-48-2/common
# Copyright © 1991-2025 Unicode, Inc.
# SPDX-License-Identifier: Unicode-3.0
# emoji\tEnglish short name\tEnglish keywords\tKorean short name\tKorean keywords
👳‍♂	man wearing turban	man | turban | wearing	터번을 쓰고 있는 남자	무슬림 | 아랍인 | 터번 | 터번 쓴 남자 | 터번을 쓰고 있는 남자
👳‍♀	woman wearing turban	turban | wearing | woman	터번을 쓰고 있는 여자	무슬림 | 아랍인 | 터번 | 터번 쓴 여자 | 터번을 쓰고 있는 여자
👲	person with skullcap	Chinese | cap | gua | guapi | hat | mao | person | pi | skullcap	중국 전통 모자를 쓰고 있는 남자	과피모 | 남자 | 모자 | 중국 전통 모자를 쓰고 있는 남자 | 중국 전통 모자를 쓴 남자
🧕	woman with headscarf	bandana | head | headscarf | hijab | kerchief | mantilla | tichel | woman	머리에 스카프를 두른 여자	만티야 | 머리 스카프 | 머리에 스카프를 두른 여자 | 반다나 | 스카프를 두른 여자 | 티첼 | 히잡 | 히잡두른 여자
🤵	person in tuxedo	formal | person | tuxedo | wedding	턱시도를 입은 사람	격식 | 결혼식 | 턱시도 | 턱시도를 입은 사람
🤵‍♂	man in tuxedo	formal | groom | man | tuxedo | wedding	턱시도를 입은 남자	격식 | 결혼식 | 남자 | 신랑 | 턱시도 | 턱시도를 입은 남자
🤵‍♀	woman in tuxedo	formal | tuxedo | wedding | woman	턱시도를 입은 여자	격식 | 결혼식 | 여자 | 턱시도 | 턱시도를 입은 여자
👰	person with veil	person | veil | wedding	면사포를 쓴 사람	결혼식 | 면사포 | 면사포를 쓴 사람 | 면사포를 쓴 신부 | 사람 | 신부
👰‍♂	man with veil	man | veil | wedding	면사포를 쓴 남자	결혼식 | 남자 | 면사포 | 면사포를 쓴 남자 | 베일 | 베일을 쓴 남자
👰‍♀	woman with veil	bride | veil | wedding | woman	면사포를 쓴 여자	결혼식 | 면사포 | 면사포를 쓴 여자 | 베일 | 베일을 쓴 여자 | 신부 | 여자
🤰	pregnant woman	pregnant | woman	임산부	여성 | 여자 | 임산부 | 임신 | 임신부
🫃	pregnant man	belly | bloated | full | man | overeat | pregnant	임신한 남자	남자 | 너무 많이 먹은 | 배 | 배가 터질 듯한 | 부푼 | 임신 | 임신한
🫄	pregnant person	belly | bloated | full | overeat | person | pregnant | stuffed	임신한 사람	너무 많이 먹은 | 배 | 배가 터질 듯한 | 부푼 | 임신 | 임신한 | 임신한 사람
🤱	breast-feeding	baby | breast | breast-feeding | feeding | mom | mother | nursing | woman	모유 수유	모유 | 수유 | 아기
👩‍🍼	woman feeding baby	baby | feed | feeding | mom | mother | nanny | newborn | nursing | woman	수유 중인 여자	갓태어난 | 내니 | 보모 | 사람 | 사랑 | 수유 | 수유 중인 여자 | 아기 | 어머니 | 엄마 | 여자 | 유모
👨‍🍼	man feeding baby	baby | dad | father | feed | feeding | man | nanny | newborn | nursing	수유 중인 남자	갓태어난 | 남성 | 남자 | 사랑 | 수유 | 수유 중인 남자 | 아기 | 아버님 | 아버지 | 아빠
🧑‍🍼	person feeding baby	baby | feed | feeding | nanny | newborn | nursing | parent	수유 중인 사람	갓태어난 | 내니 | 보모 | 부모 | 사람 | 수유 | 수유 중인 사람 | 아기 | 유모
👼	baby angel	angel | baby | church | face | fairy | fairytale | fantasy | tale	아기 천사	교회 | 동화 | 아기 | 얼굴 | 천사 | 판타지
🎅	Santa Claus	Christmas | celebration | claus | fairy | fantasy | father | holiday | merry | santa | tale | xmas	산타클로스	산타 | 산타 할아버지 | 산타클로스 | 아버지 | 크리스마스 | 클로스
🤶	Mrs. Claus	Christmas | Mrs | celebration | claus | fairy | fantasy | holiday | merry | mother | santa | tale | xmas	산타할머니	산타 | 산타클로스 | 산타할머니 | 엄마 | 여자 | 축하 | 크리스마스 | 클로스
🧑‍🎄	Mx Claus	Christmas | Mx | celebration | claus | fairy | fantasy | holiday | merry | santa | tale | xmas	산타	메리 크리스마스 | 모자 | 사람 | 산타 | 산타클로스 | 크리스마스 | 휴일
🦸	superhero	good | hero | superhero | superpower	히로인	배트맨 | 슈퍼맨 | 슈퍼파워 | 슈퍼히어로 | 영웅 | 정의 | 초능력 | 초인 | 히로인 | 히어로
🦸‍♂	man superhero	good | hero | man | superhero | superpower	남자 히어로	남자 | 정의 | 초능력 | 히어로
🦸‍♀	woman superhero	good | hero | heroine | superhero | superpower | woman	여자 히어로	여성 | 여자 히어로 | 정의 | 초능력 | 히로인 | 히어로
🦹	supervillain	bad | criminal | evil | superpower | supervillain | villain	슈퍼 악당	나쁜놈 | 범죄자 | 빌런 | 사람 | 슈퍼 악당 | 슈퍼파워 | 악당 | 악역 | 초능력 | 초인
🦹‍♂	man supervillain	bad | criminal | evil | man | superpower | supervillain | villain	남자 슈퍼 악당	나쁜놈 | 남자 슈퍼 악당 | 범죄자 | 빌런 | 악당 | 악역 | 초능력 | 초인
🦹‍♀	woman supervillain	bad | criminal | evil | superpower | supervillain | villain | woman	여자 슈퍼 악당	범죄자 | 빌런 | 악당 | 악역 | 여자 | 여자 슈퍼 악당 | 초능력 | 초인
🧙	mage	fantasy | mage | magic | play | sorcerer | sorceress | sorcery | spell | summon | witch | wizard	마법사	대마법사 | 마녀 | 마법 | 마법사 | 마술사 | 소환 | 역할극 | 주문 | 판타지
🧙‍♂	man mage	fantasy | mage | magic | man | play | sorcerer | sorceress | sorcery | spell | summon | witch | wizard	남자 마법사	남자 마법사 | 대마법사 | 마법 | 마법사 | 마술사 | 소환 | 역할극 | 주문 | 판타지
🧙‍♀	woman mage	fantasy | mage | magic | play | sorcerer | sorceress | sorcery | spell | summon | witch | wizard | woman	여자 마법사	대마법사 | 마녀 | 마법 | 마법사 | 마술사 | 소환 | 여자 마법사 | 역할극 | 주문 | 판타지
🧚	fairy	fairy | fairytale | fantasy | myth | person | pixie | tale | wings	요정	날개 | 동화 | 신화 | 요정 | 판타지 | 환상
🧚‍♂	man fairy	Oberon | Puck | fairy | fairytale | fantasy | man | myth | person | pixie | tale | wings	남자 요정	날개 | 남자 요정 | 동화 | 신화 | 요정 | 판타지 | 환상
🧚‍♀	woman fairy	Titania | fairy | fairytale | fantasy | myth | person | pixie | tale | wings | woman	여자 요정	날개 | 동화 | 신화 | 여자 요정 | 요정 | 판타지 | 환상
🧛	vampire	Dracula | blood | fangs | halloween | scary | supernatural | teeth | undead | vampire	뱀파이어	공포 | 드라큘라 | 뱀파이어 | 송곳니 | 언데드 | 이빨 | 코스프레 | 피 | 할로윈
🧛‍♂	man vampire	blood | fangs | halloween | man | scary | supernatural | teeth | undead | vampire	남자 뱀파이어	공포 | 남자 뱀파이어 | 드라큘라 | 뱀파이어 | 송곳니 | 언데드 | 이빨 | 코스프레 | 피 | 할로윈
🧛‍♀	woman vampire	blood | fangs | halloween | scary | supernatural | teeth | undead | vampire | woman	여자 뱀파이어	공포 | 드라큘라 | 뱀파이어 | 송곳니 | 언데드 | 여자 뱀파이어 | 이빨 | 코스프레 | 피 | 할로윈
🧜	merperson	creature | fairytale | folklore | merperson | ocean | sea | siren | trident	인어	남자 인어 | 동화 | 민속 | 바다 생물 | 삼지창 | 세이렌 | 심해 | 여자 인어 | 인어 | 해저
🧜‍♂	merman	Neptune | Poseidon | Triton | creature | fairytale | folklore | merman | ocean | sea | siren | trident	남자 인어	남자 인어 | 동화 | 민속 | 바다 생물 | 삼지창 | 세이렌 | 심해 | 인어 | 해저
🧜‍♀	mermaid	creature | fairytale | folklore | mermaid | merwoman | ocean | sea | siren | trident	여자 인어	동화 | 민속 | 바다 생물 | 삼지창 | 세이렌 | 심해 | 여자 인어 | 인어 | 해저
🧝	elf	elf | elves | enchantment | fantasy | folklore | magic | magical | myth	엘프	마법 | 신화 | 엘프 | 요정 | 전설 | 판타지
🧝‍♂	man elf	elf | elves | enchantment | fantasy | folklore | magic | magical | man | myth	남자 엘프	남자 엘프 | 마법 | 신화 | 엘프 | 요정 | 전설 | 판타지
🧝‍♀	woman elf	elf | elves | enchantment | fantasy | folklore | magic | magical | myth | woman	여자 엘프	마법 | 신화 | 엘프 | 여자 엘프 | 요정 | 전설 | 판타지
🧞	genie	djinn | fantasy | genie | jinn | lamp | myth | rub | wishes	지니	램프 문지르기 | 소원 | 정령 | 지니 | 판타지
🧞‍♂	man genie	djinn | fantasy | genie | jinn | lamp | man | myth | rub | wishes	남자 지니	남자 지니 | 램프 문지르기 | 소원 | 정령 | 지니 | 판타지
🧞‍♀	woman genie	djinn | fantasy | genie | jinn | lamp | myth | rub | wishes | woman	여자 지니	램프 문지르기 | 소원 | 여자 지니 | 정령 | 지니 | 판타지
🧟	zombie	apocalypse | dead | halloween | horror | scary | undead | walking | zombie	좀비	공포 | 아포칼립스 | 언데드 | 워킹 데드 | 좀비 | 할로윈 | 호러
🧟‍♂	man zombie	apocalypse | dead | halloween | horror | man | scary | undead | walking | zombie	남자 좀비	공포 | 남자 좀비 | 아포칼립스 | 언데드 | 워킹 데드 | 좀비 | 할로윈 | 호러
🧟‍♀	woman zombie	apocalypse | dead | halloween | horror | scary | undead | walking | woman | zombie	여자 좀비	공포 | 아포칼립스 | 언데드 | 여자 좀비 | 워킹 데드 | 좀비 | 할로윈 | 호러
🧌	troll	fairy | fantasy | monster | tale | troll | trolling	트롤	괴물 | 동화 | 몬스터 | 트롤 | 트롤링 | 판타지
🫈	hairy creature	bigfoot | cryptid | forest | giant | hairy | sasquatch | woodwose | yeti	털복숭이	거인 | 괴생명체 | 빅풋 | 사스콰치 | 설인 | 숲 | 털 | 털복숭이
💆	person getting massage	face | getting | headache | massage | person | relax | relaxing | salon | soothe | spa | tension | therapy | treatment	마사지 받는 사람	경락 | 골치아픔 | 긴장 | 두통 | 마사지 | 마사지 받는 사람 | 마사지를 받는 사람 | 매끈 | 살롱 | 스파 | 얼굴 | 요법 | 이완 | 치료 | 테라피 | 트리트먼트
💆‍♂	man getting massage	face | getting | headache | man | massage | relax | relaxing | salon | soothe | spa | tension | therapy | treatment	마사지 받는 남자	관자놀이 | 두통 | 마사지 | 마사지 받는 남자 | 살롱 | 얼굴 | 완화 | 지압
💆‍♀	woman getting massage	face | getting | headache | massage | relax | relaxing | salon | soothe | spa | tension | therapy | treatment | woman	마사지 받는 여자	관자놀이 | 두통 | 마사지 | 마사지 받는 여자 | 살롱 | 얼굴 | 완화 | 지압
💇	person getting haircut	barber | beauty | chop | cosmetology | cut | groom | hair | haircut | parlor | person | shears | style	헤어컷	가위와 빗 | 머리 깎기 | 머리 손질 | 머리 정돈 | 머리카락 | 머리카락 자름 | 머리카락을 자르는 사람 | 미용 | 미용실 | 뷰티 | 스타일 | 이발 | 이발소 | 헤어스타일 | 헤어컷
💇‍♂	man getting haircut	barber | beauty | chop | cosmetology | cut | groom | hair | haircut | man | parlor | person | shears | style	남자 헤어컷	가위 | 남자 헤어컷 | 머리카락 자르는 남자 | 미용 | 미용실 | 뷰티 | 스타일 | 헤어컷
💇‍♀	woman getting haircut	barber | beauty | chop | cosmetology | cut | groom | hair | haircut | parlor | person | shears | style | woman	여자 헤어컷	가위 | 머리카락 자르는 여자 | 미용 | 미용실 | 뷰티 | 스타일 | 여자 헤어컷 | 헤어컷
🚶	person walking	amble | gait | hike | man | pace | pedestrian | person | stride | stroll | walk | walking	보행자	걷기 | 걷는 남자 | 걷는 사람 | 걸어가는 사람 | 돌아다니기 | 보행자 | 보행자용 | 산책 | 하이크 | 하이킹
🚶‍♂	man walking	amble | gait | hike | man | pace | pedestrian | stride | stroll | walk | walking	걷는 남자	걷기 | 걷는 남자 | 걷는 사람 | 걸어가는 사람 | 도보 | 돌아다니기 | 보행자 | 산책 | 워킹 | 하이킹
🚶‍♀	woman walking	amble | gait | hike | man | pace | pedestrian | stride | stroll | walk | walking | woman	걷는 여자	걷기 | 걷는 사람 | 걷는 여자 | 걸어가는 사람 | 도보 | 돌아다니기 | 보행자 | 산책 | 워킹 | 하이킹
🚶‍➡	person walking: facing right	amble | facing | gait | hike | man | pace | pedestrian | person | right | stride | stroll | walk | walking	보행자: 오른쪽을 향한	걷기 | 걷는 남자 | 걷는 사람 | 걸어가는 사람 | 돌아다니기 | 보행자 | 보행자용 | 산책 | 오른쪽을 | 하이크 | 하이킹 | 향한
🚶‍♀‍➡	woman walking: facing right	amble | facing | gait | hike | man | pace | pedestrian | right | stride | stroll | walk | walking | woman	걷는 여자: 오른쪽을 향한	걷기 | 걷는 사람 | 걷는 여자 | 걸어가는 사람 | 도보 | 돌아다니기 | 보행자 | 산책 | 오른쪽을 | 워킹 | 하이킹 | 향한
🚶‍♂‍➡	man walking: facing right	amble | facing | gait | hike | man | pace | pedestrian | right | stride | stroll | walk | walking	걷는 남자: 오른쪽을 향한	걷기 | 걷는 남자 | 걷는 사람 | 걸어가는 사람 | 도보 | 돌아다니기 | 보행자 | 산책 | 오른쪽을 | 워킹 | 하이킹 | 향한
🧍	person standing	person | stand | standing	서 있는 사람	서 있는 | 서 있는 사람
🧍‍♂	man standing	man | stand | standing	서 있는 남자	남자 | 서 있는 | 서 있는 남자
🧍‍♀	woman standing	stand | standing | woman	서 있는 여자	서 있는 | 서 있는 여자 | 여자
🧎	person kneeling	kneel | kneeling | knees | person	무릎을 꿇은 사람	무릎을 꿇은 | 무릎을 꿇은 사람
🧎‍♂	man kneeling	kneel | kneeling | knees | man	무릎을 꿇은 남자	남자 | 무릎을 꿇은 | 무릎을 꿇은 남자
🧎‍♀	woman kneeling	kneel | kneeling | knees | woman	무릎을 꿇은 여자	무릎을 꿇은 | 무릎을 꿇은 여자 | 여자
🧎‍➡	person kneeling: facing right	facing | kneel | kneeling | knees | person | right	무릎을 꿇은 사람: 오른쪽을 향한	무릎을 꿇은 | 무릎을 꿇은 사람 | 오른쪽을 | 향한
🧎‍♀‍➡	woman kneeling: facing right	facing | kneel | kneeling | knees | right | woman	무릎을 꿇은 여자: 오른쪽을 향한	무릎을 꿇은 | 무릎을 꿇은 여자 | 여자 | 오른쪽을 | 향한
🧎‍♂‍➡	man kneeling: facing right	facing | kneel | kneeling | knees | man | right	무릎을 꿇은 남자: 오른쪽을 향한	남자 | 무릎을 꿇은 | 무릎을 꿇은 남자 | 오른쪽을 | 향한
🧑‍🦯	person with white cane	accessibility | blind | cane | person | probing | white	지팡이를 든 사람	시각장애 | 접근성 | 지팡이를 든 사람
🧑‍🦯‍➡	person with white cane: facing right	accessibility | blind | cane | facing | person | probing | right | white	지팡이를 든 사람: 오른쪽을 향한	시각장애 | 오른쪽을 | 접근성 | 지팡이를 든 사람 | 향한
👨‍🦯	man with white cane	accessibility | blind | cane | man | probing | white	지팡이를 든 남자	남자 | 시각장애 | 접근성 | 지팡이를 든 남자 | 지팡이를 든 남자 시각장애인
👨‍🦯‍➡	man with white cane: facing right	accessibility | blind | cane | facing | man | probing | right | white	지팡이를 든 남자: 오른쪽을 향한	남자 | 시각장애 | 오른쪽을 | 접근성 | 지팡이를 든 남자 | 지팡이를 든 남자 시각장애인 | 향한
👩‍🦯	woman with white cane	accessibility | blind | cane | probing | white | woman	지팡이를 든 여자	시각장애 | 여자 | 접근성 | 지팡이를 든 여자 | 지팡이를 든 여자 시각장애인
👩‍🦯‍➡	woman with white cane: facing right	accessibility | blind | cane | facing | probing | right | white | woman	지팡이를 든 여자: 오른쪽을 향한	시각장애 | 여자 | 오른쪽을 | 접근성 | 지팡이를 든 여자 | 지팡이를 든 여자 시각장애인 | 향한
🧑‍🦼	person in motorized wheelchair	accessibility | motorized | person | wheelchair	전동 휠체어를 탄 사람	전동 휠체어 | 전동 휠체어를 탄 사람 | 접근성
🧑‍🦼‍➡	person in motorized wheelchair: facing right	accessibility | facing | motorized | person | right | wheelchair	전동 휠체어를 탄 사람: 오른쪽을 향한	오른쪽을 | 전동 휠체어 | 전동 휠체어를 탄 사람 | 접근성 | 향한
👨‍🦼	man in motorized wheelchair	accessibility | man | motorized | wheelchair	전동 휠체어를 탄 남자	남자 | 전동 휠체어를 탄 남자 | 접근성 | 휠체어
👨‍🦼‍➡	man in motorized wheelchair: facing right	accessibility | facing | man | motorized | right | wheelchair	전동 휠체어를 탄 남자: 오른쪽을 향한	남자 | 오른쪽을 | 전동 휠체어를 탄 남자 | 접근성 | 향한 | 휠체어
👩‍🦼	woman in motorized wheelchair	accessibility | motorized | wheelchair | woman	전동 휠체어를 탄 여자	여자 | 전동 휠체어를 탄 여자 | 접근성 | 휠체어
👩‍🦼‍➡	woman in motorized wheelchair: facing right	accessibility | facing | motorized | right | wheelchair | woman	전동 휠체어를 탄 여자: 오른쪽을 향한	여자 | 오른쪽을 | 전동 휠체어를 탄 여자 | 접근성 | 향한 | 휠체어
🧑‍🦽	person in manual wheelchair	accessibility | manual | person | wheelchair	수동 휠체어를 탄 사람	수동 휠체어 | 수동 휠체어를 탄 사람 | 접근성
🧑‍🦽‍➡	person in manual wheelchair: facing right	accessibility | facing | manual | person | right | wheelchair	수동 휠체어를 탄 사람: 오른쪽을 향한	수동 휠체어 | 수동 휠체어를 탄 사람 | 오른쪽을 | 접근성 | 향한
👨‍🦽	man in manual wheelchair	accessibility | man | manual | wheelchair	수동 휠체어를 탄 남자	남자 | 수동 휠체어를 탄 남자 | 접근성 | 휠체어
👨‍🦽‍➡	man in manual wheelchair: facing right	accessibility | facing | man | manual | right | wheelchair	수동 휠체어를 탄 남자: 오른쪽을 향한	남자 | 수동 휠체어를 탄 남자 | 오른쪽을 | 접근성 | 향한 | 휠체어
👩‍🦽	woman in manual wheelchair	accessibility | manual | wheelchair | woman	수동 휠체어를 탄 여자	수동 휠체어를 탄 여자 | 여자 | 접근성 | 휠체어
👩‍🦽‍➡	woman in manual wheelchair: facing right	accessibility | facing | manual | right | wheelchair | woman	수동 휠체어를 탄 여자: 오른쪽을 향한	수동 휠체어를 탄 여자 | 여자 | 오른쪽을 | 접근성 | 향한 | 휠체어
🏃	person running	fast | hurry | marathon | move | person | quick | race | racing | run | rush | speed	뛰는 사람	경기 | 급한 | 달리기 | 뛰기 | 뛰는 사람 | 런닝 | 마라토너 | 마라톤 | 마라톤 선수 | 빨리 | 서두르는 | 속도 | 신속 | 이동 | 질주
🏃‍♂	man running	fast | hurry | man | marathon | move | quick | race | racing | run | rush | speed	뛰는 남자	경기 | 급한 | 달리기 | 뛰기 | 뛰는 남자 | 런닝 | 마라톤 | 빨리 | 서두르는 | 속도 | 이동 | 질주
🏃‍♀	woman running	fast | hurry | marathon | move | quick | race | racing | run | rush | speed | woman	뛰는 여자	경기 | 급한 | 달리기 | 뛰기 | 뛰는 여자 | 런닝 | 마라톤 | 빨리 | 서두르는 | 속도 | 이동 | 질주
🏃‍➡	person running: facing right	facing | fast | hurry | marathon | move | person | quick | race | racing | right | run | rush | speed	뛰는 사람: 오른쪽을 향한	경기 | 급한 | 달리기 | 뛰기 | 뛰는 사람 | 런닝 | 마라토너 | 마라톤 | 마라톤 선수 | 빨리 | 서두르는 | 속도 | 신속 | 오른쪽을 | 이동 | 질주 | 향한
🏃‍♀‍➡	woman running: facing right	facing | fast | hurry | marathon | move | quick | race | racing | right | run | rush | speed | woman	뛰는 여자: 오른쪽을 향한	경기 | 급한 | 달리기 | 뛰기 | 뛰는 여자 | 런닝 | 마라톤 | 빨리 | 서두르는 | 속도 | 오른쪽을 | 이동 | 질주 | 향한
🏃‍♂‍➡	man running: facing right	facing | fast | hurry | man | marathon | move | quick | race | racing | right | run | rush | speed	뛰는 남자: 오른쪽을 향한	경기 | 급한 | 달리기 | 뛰기 | 뛰는 남자 | 런닝 | 마라톤 | 빨리 | 서두르는 | 속도 | 오른쪽을 | 이동 | 질주 | 향한
🧑‍🩰	ballet dancer	ballet | dancer	발레 무용수	댄서 | 무용수 | 발레
💃	woman dancing	dance | dancer | dancing | elegant | festive | flair | flamenco | groove | let’s | salsa | tango | woman	여자 댄서	그루브 | 다함께 춤춰요 | 댄서 | 댄스 | 댄싱 | 살사 | 엘레강스 | 여성 | 여자 | 재능 | 축제 | 춤 | 춤추는 여자 | 탱고 | 플라멩고
🕺	man dancing	dance | dancer | dancing | elegant | festive | flair | flamenco | groove | let’s | man | salsa | tango	남자 댄서	같이 춤춰요 | 그루브 | 남성 | 남자 | 댄서 | 댄스 | 댄싱 | 살사 | 여자 | 우아한 | 재능 | 축제 | 춤 | 춤추는 남자 | 탱고 | 플라멩고
🕴	person in suit levitating	business | levitating | person | suit	공중에 떠 있는 정장 입은 남자	공중부양 | 공중에 떠 있는 정장 입은 남자 | 남자 | 비즈니스 | 정장
👯	people with bunny ears	bestie | bff | bunny | counterpart | dancer | double | ear | identical | pair | party | partying | people | soulmate | twin | twinsies	토끼 귀를 쓰고 춤추는 사람들	단짝 | 댄서 | 더블 | 바니걸 | 베스트프렌드 | 베프 | 소울메이트 | 쌍둥이 | 짝꿍 | 토끼 귀 | 토끼 귀를 쓰고 춤추는 사람들 | 파티
👯‍♂	men with bunny ears	bestie | bff | bunny | counterpart | dancer | double | ear | identical | men | pair | party | partying | people | soulmate | twin | twinsies	토끼 귀를 쓰고 춤추는 남자들	귀 | 남자 | 댄서 | 두 남자 | 토끼 | 토끼 귀를 쓰고 춤추는 남자들 | 파티
👯‍♀	women with bunny ears	bestie | bff | bunny | counterpart | dancer | double | ear | identical | pair | party | partying | people | soulmate | twin | twinsies | women	토끼 귀를 쓰고 춤추는 여자들	단짝 | 댄서 | 더블 | 바니걸 | 베스트프렌드 | 베프 | 소울메이트 | 쌍둥이 | 짝꿍 | 토끼 귀 | 토끼 귀를 쓰고 춤추는 여자들 | 파티
🧖	person in steamy room	day | luxurious | pamper | person | relax | room | sauna | spa | steam | steambath | unwind	사우나 하는 사람	데이 스파 | 럭셔리 | 목욕 | 사우나 | 사우나 하는 사람 | 스파 | 휴식 | 휴양
🧖‍♂	man in steamy room	day | luxurious | man | pamper | relax | room | sauna | spa | steam | steambath | unwind	사우나 하는 남자	데이 스파 | 럭셔리 | 목욕 | 사우나 | 사우나 하는 남자 | 스파 | 휴식 | 휴양
🧖‍♀	woman in steamy room	day | luxurious | pamper | relax | room | sauna | spa | steam | steambath | unwind | woman	사우나 하는 여자	데이 스파 | 럭셔리 | 목욕 | 사우나 | 사우나 하는 여자 | 스파 | 휴식 | 휴양
🧗	person climbing	climb | climber | climbing | mountain | person | rock | scale | up	클라이밍하는 사람	등반 | 등산 | 등산가 | 산 | 암벽 등반 | 암벽 등반가 | 클라이밍 | 클라이밍하는 사람
🧗‍♂	man climbing	climb | climber | climbing | man | mountain | rock | scale | up	클라이밍하는 남자	등반 | 등산 | 등산가 | 산 | 암벽 등반 | 암벽 등반가 | 클라이밍 | 클라이밍하는 남자
🧗‍♀	woman climbing	climb | climber | climbing | mountain | rock | scale | up | woman	클라이밍하는 여자	등반 | 등산 | 등산가 | 산 | 암벽 등반 | 암벽 등반가 | 클라이밍 | 클라이밍하는 여자
🤺	person fencing	fencer | fencing | person | sword	펜싱하는 사람	검 | 선수 | 스포츠 | 칼 | 펜싱 | 펜싱하는 사람
🏇	horse racing	horse | jockey | racehorse | racing | riding | sport	승마	경마 | 기수 | 레이싱 | 말 | 말과 기수 | 스포츠 | 승마 | 트리플 크라운
⛷	skier	ski | skier | snow	스키 타는 사람	눈 | 스키 | 스키 타는 사람 | 스키타는 사람
🏂	snowboarder	ski | snow | snowboard | snowboarder | sport	스노보드 타는 사람	눈 | 스노보더 | 스노보드 | 스노보드 타는 사람 | 스키 | 스포츠 | 운동
🏌	person golfing	ball | birdie | caddy | driving | golf | golfing | green | person | pga | putt | range | tee	골프치는 사람	골퍼 | 골프 | 골프 선수 | 골프 연습장 | 골프치는 사람 | 골프티 | 공 | 그린 | 버디 | 캐디 | 퍼트 | 필드
🏌‍♂	man golfing	ball | birdie | caddy | driving | golf | golfing | green | man | pga | putt | range | tee	골프치는 남자	골퍼 | 골프 | 골프 선수 | 골프 연습장 | 골프치는 남자 | 골프티 | 공 | 그린 | 버디 | 스윙 | 캐디 | 퍼트
🏌‍♀	woman golfing	ball | birdie | caddy | driving | golf | golfing | green | pga | putt | range | tee | woman	골프치는 여자	골프 | 골프선수 | 골프치는 여자 | 공 | 스윙
🏄	person surfing	beach | ocean | person | sport | surf | surfer | surfing | swell | waves	서핑하는 사람	바다 | 서퍼 | 서핑 | 서핑하는 사람 | 스포츠 | 파도 | 파도 타기 | 해변 | 해양
🏄‍♂	man surfing	beach | man | ocean | sport | surf | surfer | surfing | swell | waves	서핑하는 남자	바다 | 서퍼 | 서핑 | 서핑보드 | 서핑하는 남자 | 수상스포츠 | 스포츠 | 파도 | 파도 타기 | 해변 | 해양
🏄‍♀	woman surfing	beach | ocean | person | sport | surf | surfer | surfing | swell | waves	서핑하는 여자	서퍼 | 서핑 | 서핑보드 | 서핑하는 사람 | 서핑하는 여자 | 수상스포츠 | 스포츠 | 파도 | 해변
🚣	person rowing boat	boat | canoe | cruise | fishing | lake | oar | paddle | person | raft | river | row | rowboat | rowing	노젓는 사람	강 | 낚시 | 노 | 노 젓기 | 노 젓는 보트 | 노젓는 사람 | 뗏목 | 보트 | 카누 | 크루즈 | 호수
🚣‍♂	man rowing boat	boat | canoe | cruise | fishing | lake | man | oar | paddle | raft | river | row | rowboat | rowing	노젓는 남자	강 | 낚시 | 노 | 노 젓기 | 노 젓는 보트 | 노젓는 남자 | 뗏목 | 보트 | 카누 | 크루즈 | 호수
🚣‍♀	woman rowing boat	boat | canoe | cruise | fishing | lake | oar | paddle | raft | river | row | rowboat | rowing | woman	노젓는 여자	강 | 노 | 노젓기 | 노젓는 배 | 노젓는 여자 | 배 | 보트 | 크루즈 | 호수
🏊	person swimming	freestyle | person | sport | swim | swimmer | swimming | triathlon	수영하는 사람	수영 | 수영 선수 | 수영장 | 수영하기 | 수영하는 남자 | 수영하는 사람 | 스포츠 | 운동 | 자유형 | 철인 3종 경기 | 트라이애슬론
🏊‍♂	man swimming	freestyle | man | sport | swim | swimmer | swimming | triathlon	수영하는 남자	수영 | 수영 선수 | 수영장 | 수영하기 | 수영하는 남자 | 스포츠 | 운동 | 자유형 | 철인 3종 경기 | 트라이애슬론
🏊‍♀	woman swimming	freestyle | man | sport | swim | swimmer | swimming | triathlon	수영하는 여자	수영 | 수영선수 | 수영장 | 수영하는 사람 | 수영하는 여자 | 헤엄
⛹	person bouncing ball	athletic | ball | basketball | bouncing | championship | dribble | net | person | player | throw	공을 갖고 있는 사람	공 | 공 튀기는 사람 | 공을 갖고 있는 사람 | 농구 | 농구공 | 농구선수 | 드리블 | 운동 선수 | 자유투 | 챔피언십
⛹‍♂	man bouncing ball	athletic | ball | basketball | bouncing | championship | dribble | man | net | player | throw	공 가진 남자	공 | 공 튀기는 남자 | 공을 갖고 있는 남자 | 농구 | 농구공 | 농구선수 | 드리블 | 운동 선수 | 자유투 | 챔피언십
⛹‍♀	woman bouncing ball	athletic | ball | basketball | bouncing | championship | dribble | net | player | throw | woman	공 가진 여자	공 | 공 튀기는 여자 | 공을 갖고 있는 여자 | 농구 | 농구공 | 농구선수 | 드리블 | 운동 선수 | 자유투 | 챔피언십
🏋	person lifting weights	barbell | bodybuilder | deadlift | lifter | lifting | person | powerlifting | weight | weightlifter | weights | workout	역도 선수	데드리프트 | 바벨 | 보디빌더 | 역도 | 역도 선수 | 역도선수 | 역도하는 사람 | 운동 | 웨이트 트레이닝 | 트레이닝 | 파워 리프팅
🏋‍♂	man lifting weights	barbell | bodybuilder | deadlift | lifter | lifting | man | powerlifting | weight | weightlifter | weights | workout	남자 역도 선수	남자 역도 선수 | 데드리프트 | 바벨 | 보디빌더 | 역도 | 역도 선수 | 역도선수 | 역도하는 사람 | 운동 | 웨이트 트레이닝 | 트레이닝 | 파워 리프팅
